WTeamID,WScore,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF
1421,92,11,29,17,26,14,30,17,12,5,3,22
1112,80,7,23,11,14,11,36,22,16,10,7,8
1113,84,6,14,16,22,10,27,18,9,7,4,19
1141,79,3,7,18,25,11,20,15,18,13,1,19
1143,76,7,20,15,23,18,20,17,13,8,2,14
1163,58,4,14,20,27,12,29,8,14,3,8,16
1181,67,4,13,25,31,13,27,4,16,10,8,23
1211,74,6,14,28,37,8,28,12,12,2,2,15
1228,65,5,14,12,14,15,23,15,14,11,4,14
1242,64,2,6,6,11,7,20,13,11,8,4,17
1266,72,9,16,19,23,11,20,14,10,4,3,23
1281,72,5,13,11,18,9,32,7,23,4,6,19
1323,70,3,13,21,25,11,33,7,20,6,6,19
1328,71,10,18,13,24,11,24,16,14,8,3,12
1390,77,8,24,11,15,12,29,16,14,4,8,24
1409,84,8,12,10,13,8,26,18,12,6,1,11
1458,81,6,16,13,22,10,24,16,9,7,2,16
1120,65,7,18,8,13,14,24,11,15,4,5,16
1139,47,5,18,6,8,7,19,5,8,3,0,15
1196,85,13,28,8,14,9,31,24,10,6,3,15
1231,67,7,18,22,26,13,22,15,8,1,2,17
1246,95,10,20,5,11,10,25,22,13,7,4,17
1257,86,8,24,8,13,15,29,18,12,12,4,22
1268,75,10,19,11,15,8,27,17,13,3,3,20
1277,79,7,13,20,25,10,28,16,11,5,1,18
1329,77,7,20,16,28,10,15,15,11,12,0,17
1338,87,9,16,12,21,10,23,22,9,14,6,19
1345,80,9,16,17,19,8,25,7,19,9,1,18
1393,76,4,11,12,15,11,28,16,18,5,9,17
1400,82,6,16,14,20,19,28,15,14,6,2,16
1428,60,9,23,15,18,13,23,8,15,7,4,22
1448,76,6,23,12,20,19,29,13,19,8,9,19
1462,71,6,20,13,18,17,30,19,10,5,4,11
1112,96,7,24,21,29,18,29,18,9,7,4,20
1163,85,6,10,17,21,17,26,12,9,4,1,13
1181,86,10,15,12,16,4,23,14,11,15,9,18
1242,108,5,9,23,34,12,28,21,13,6,6,20
1266,101,12,18,19,20,8,25,18,12,6,0,20
1323,68,13,24,5,5,5,32,12,11,5,4,13
1328,74,7,13,15,24,13,23,16,12,2,2,15
1458,61,6,22,11,17,10,22,12,5,5,3,11
1120,68,4,19,16,20,12,21,11,14,9,6,18
1139,79,14,22,11,19,10,18,21,12,6,2,11
1246,74,4,13,18,18,13,22,11,13,4,3,16
1268,77,3,13,14,17,7,32,19,8,2,6,21
1277,68,6,16,12,18,9,21,15,10,5,0,18
1338,74,4,9,20,28,10,21,15,11,9,1,14
1393,68,5,12,11,18,5,33,16,17,11,9,19
1400,77,5,11,22,26,13,27,8,13,4,0,21
1112,88,7,14,9,11,14,30,19,10,12,5,17
1242,69,1,12,10,17,18,29,14,17,4,5,16
1246,63,1,5,14,24,12,21,9,14,10,4,17
1266,77,6,12,15,22,10,18,16,10,7,3,18
1277,60,6,17,10,12,11,26,10,18,8,3,20
1328,65,4,10,7,12,19,20,15,13,6,1,18
1393,79,5,14,16,21,15,21,14,10,9,7,17
1400,82,5,18,29,36,21,31,13,10,5,5,21
1242,78,8,26,12,18,15,22,16,15,13,5,20
1266,83,10,19,11,15,10,26,21,15,6,6,22
1393,63,2,12,11,19,12,28,16,24,13,2,13
1400,85,6,14,29,38,8,20,16,4,6,4,22
1242,94,8,19,10,17,19,33,22,12,8,5,15
1393,95,7,13,24,31,9,28,14,13,9,2,21
1393,81,11,18,10,17,11,25,13,17,10,7,22
1197,72,6,20,16,23,19,25,11,12,8,2,15
1104,65,7,16,10,16,11,24,7,12,7,2,7
1163,70,6,14,12,23,11,31,14,13,6,3,8
1177,76,5,13,23,40,11,38,13,11,4,3,19
1181,96,9,26,23,31,17,29,19,14,14,4,19
1211,76,3,13,15,25,10,36,19,15,6,5,14
1264,75,6,15,17,21,13,23,10,10,8,4,21
1268,86,8,18,20,31,16,21,17,14,7,6,20
1305,72,7,22,25,29,5,23,10,17,6,2,16
1314,63,4,13,15,18,14,21,12,13,10,1,15
1371,80,8,22,18,24,12,21,12,10,6,0,19
1386,82,8,23,20,28,10,26,16,14,15,3,17
1390,71,6,14,11,15,11,29,11,20,11,9,20
1393,80,11,16,21,28,5,18,12,7,2,4,15
1400,66,11,15,9,14,17,26,10,13,3,1,16
1403,76,4,11,14,18,14,22,17,16,7,2,16
1448,79,6,16,17,27,9,23,16,11,7,2,16
1130,58,3,4,9,11,4,21,20,8,4,3,13
1153,80,13,32,9,11,12,33,22,17,3,11,19
1210,65,6,18,9,12,8,29,10,12,4,3,14
1228,72,9,24,9,13,16,28,19,8,5,5,17
1242,78,5,12,25,40,6,35,18,25,6,8,19
1246,96,11,28,15,23,13,29,23,17,8,5,15
1272,59,9,27,4,7,14,22,16,9,3,4,15
1280,85,8,22,17,23,13,34,19,17,12,3,13
1301,61,5,17,20,24,13,24,10,15,5,0,20
1329,75,2,6,13,16,11,26,15,15,12,5,16
1334,66,6,14,12,18,7,22,17,12,7,1,11
1338,53,5,16,22,31,10,27,7,13,8,1,15
1412,102,9,26,33,44,11,26,23,12,8,2,26
1435,71,11,19,8,18,8,25,16,17,9,5,15
1458,76,8,18,18,24,11,18,14,9,7,3,11
1462,80,9,18,25,29,12,27,15,15,6,1,12
1104,70,4,19,34,44,5,24,8,8,6,8,16
1163,72,5,16,15,23,13,31,15,5,5,5,15
1181,90,4,11,34,38,11,29,16,10,3,3,18
1305,91,8,17,23,29,14,29,18,8,4,4,18
1386,70,12,31,4,5,11,20,13,13,4,0,16
1393,72,4,12,24,38,12,26,11,12,7,5,25
1400,78,5,13,19,23,9,26,10,11,6,1,19
1448,84,8,20,18,24,8,29,15,10,5,2,18
1210,57,6,18,5,6,8,16,15,17,12,1,17
1228,92,11,19,11,14,2,19,26,4,9,1,14
1242,78,5,15,15,21,15,25,17,13,11,3,15
1329,70,5,12,9,17,14,20,18,17,8,1,16
1338,59,2,10,15,19,15,25,10,9,7,3,17
1412,76,8,18,8,13,18,15,19,12,9,1,19
1435,75,10,25,19,21,10,17,15,8,4,2,13
1462,89,13,19,16,23,6,32,14,13,3,9,14
1104,80,9,22,19,23,10,17,22,9,11,6,17
1163,73,6,17,13,15,11,33,14,18,6,4,10
1329,63,4,8,15,16,6,24,13,10,6,5,16
1386,84,12,24,14,23,10,20,15,11,8,4,21
1181,72,6,18,10,15,5,24,19,13,10,5,14
1210,72,6,18,12,22,13,36,10,16,9,5,22
1242,100,4,10,36,44,10,35,21,17,9,3,19
1462,79,8,25,25,35,16,23,13,7,6,3,20
1163,87,10,17,19,29,15,25,17,7,3,7,18
1329,64,4,17,10,15,12,30,13,13,2,6,16
1181,66,8,20,16,20,10,29,15,11,6,7,23
1210,79,3,16,26,34,11,30,14,12,13,3,17
1163,79,6,11,21,32,13,31,9,18,5,6,20
1210,67,7,17,12,16,7,22,16,12,7,4,19
1163,82,5,17,25,39,18,32,10,16,5,2,18
1324,79,7,15,14,20,14,29,14,17,2,2,14
1112,66,6,14,14,18,9,24,9,11,3,6,12
1130,85,8,12,17,25,8,33,24,19,8,6,14
1153,76,9,18,13,22,9,27,18,8,5,8,19
1211,74,5,16,15,22,11,29,13,10,5,5,14
1228,67,6,21,15,21,8,22,16,8,8,2,13
1246,72,2,11,18,26,9,22,11,14,9,4,11
1305,61,3,14,12,18,16,33,11,8,4,7,14
1328,84,3,13,13,15,14,34,16,14,9,3,14
1334,79,10,20,17,23,10,25,15,12,2,1,18
1403,78,3,7,11,16,4,28,21,14,7,2,14
1412,82,7,16,21,36,11,24,15,15,8,2,23
1428,60,6,24,12,20,15,25,15,18,7,4,13
1448,70,8,28,14,21,15,22,16,15,10,2,12
1449,88,9,19,15,22,9,23,19,16,9,1,14
1452,63,8,20,11,13,8,21,19,16,12,4,15
1454,83,12,21,19,28,8,14,20,7,6,1,18
1137,64,8,31,12,16,9,21,17,9,10,1,21
1163,77,3,6,16,25,14,29,17,13,7,6,13
1181,57,6,20,19,29,5,27,9,8,5,6,15
1196,67,7,23,18,19,11,21,15,16,11,8,21
1210,80,7,16,17,22,10,32,11,17,10,3,22
1235,64,2,8,12,19,15,24,11,13,12,8,17
1257,68,6,22,18,27,16,20,12,11,5,2,19
1277,89,3,14,28,36,5,25,11,13,9,1,22
1280,93,9,17,20,26,10,29,13,9,3,6,19
1301,75,4,19,19,22,11,22,14,16,14,8,10
1314,96,12,19,10,19,15,24,27,15,9,3,13
1329,63,4,7,23,29,8,22,13,17,11,1,13
1356,65,4,12,11,14,12,21,12,10,8,2,22
1436,60,7,21,9,11,13,17,14,16,10,0,12
1437,55,8,29,17,24,18,29,9,20,12,4,15
1458,57,11,26,6,10,5,25,14,8,3,2,13
1112,85,7,22,18,23,11,28,16,16,7,7,14
1228,71,2,12,17,20,6,26,18,16,9,3,18
1246,69,7,12,12,18,7,29,16,15,7,5,17
1403,71,4,11,9,16,8,24,18,7,7,1,14
1428,67,5,8,18,28,9,30,15,20,2,2,19
1449,97,9,23,16,19,12,23,17,7,2,3,20
1452,111,7,21,30,39,10,25,20,11,5,5,26
1454,83,11,24,20,22,10,16,17,16,11,5,26
1181,63,8,21,17,21,13,30,8,16,8,6,22
1257,76,10,21,22,28,9,28,10,11,1,7,15
1277,72,2,12,16,22,12,27,12,9,4,4,16
1301,65,10,20,15,17,7,19,13,13,10,4,18
1314,92,8,25,22,37,15,35,20,13,14,4,18
1329,85,6,12,29,33,8,22,18,14,3,0,23
1437,76,3,11,25,35,17,27,10,14,11,4,23
1458,71,7,17,22,29,8,22,14,7,5,1,12
1112,79,7,14,10,17,8,23,17,14,3,5,17
1228,77,9,20,12,15,8,25,20,9,7,2,20
1257,93,11,26,20,28,10,34,17,17,8,4,18
1452,65,9,22,8,13,11,20,14,18,5,3,15
1246,62,4,13,10,19,4,21,10,14,6,2,25
1277,78,5,14,19,23,16,22,12,16,13,0,22
1314,67,8,19,19,24,12,30,11,17,3,3,24
1458,65,4,10,19,25,4,31,7,18,2,0,14
1228,90,16,35,10,15,14,18,21,13,12,2,18
1257,93,11,28,18,29,15,19,19,11,8,4,18
1277,94,10,19,24,30,17,23,15,13,6,3,20
1314,88,5,16,15,18,12,21,19,9,5,5,15
1228,72,12,30,6,8,10,28,21,7,4,0,12
1314,87,6,20,11,17,13,38,18,13,5,6,17
1314,75,9,16,12,19,8,26,12,10,4,2,13
1284,71,10,26,7,9,7,31,21,9,2,10,11
1104,90,12,23,22,31,16,16,15,14,4,3,17
1130,88,6,23,24,29,7,23,22,8,12,2,16
1181,70,5,15,17,20,9,26,15,20,9,8,11
1196,76,10,25,8,10,8,31,21,11,8,7,9
1203,88,10,22,16,22,15,19,16,10,6,1,20
1211,79,6,12,21,27,8,25,11,10,4,4,25
1228,78,8,22,12,14,7,21,17,11,6,1,17
1231,87,8,26,9,16,15,16,14,9,11,0,16
1261,80,5,10,21,27,9,30,16,18,8,11,17
1285,87,6,12,23,27,10,22,18,8,2,2,12
1397,63,5,21,10,14,11,22,12,13,6,6,15
1401,66,7,20,19,22,14,24,14,10,8,5,19
1417,78,4,13,14,17,9,36,20,14,11,4,14
1449,75,12,27,7,8,5,17,16,7,11,1,14
1454,82,6,20,26,32,10,22,13,12,8,1,15
1455,86,10,22,22,32,14,30,19,15,6,3,20
1112,94,5,10,19,23,11,25,19,9,9,6,19
1133,77,11,21,20,32,11,24,17,16,6,1,17
1137,59,11,21,14,18,8,21,10,14,10,2,17
1163,72,8,16,10,13,7,21,17,16,6,5,9
1206,75,5,12,12,26,10,30,7,14,4,6,10
1207,54,5,19,9,14,8,24,15,9,4,4,12
1246,69,5,25,26,30,20,27,12,8,2,3,16
1272,94,11,22,9,16,12,21,16,13,10,2,21
1301,58,5,16,11,17,7,18,10,11,5,1,15
1314,69,5,18,20,25,12,25,15,17,10,3,12
1322,64,9,23,9,14,14,17,17,11,9,4,21
1326,70,5,22,13,23,15,28,10,4,2,4,13
1338,79,6,14,11,15,4,24,18,12,4,7,13
1400,60,2,10,22,26,14,28,7,11,4,6,14
1437,58,7,25,19,23,15,25,7,13,13,1,17
1452,64,11,32,9,11,9,22,15,11,8,3,10
1130,69,8,17,7,9,15,29,16,8,2,9,11
1181,74,6,16,26,37,9,30,12,18,4,10,15
1196,82,8,20,14,19,10,31,17,10,6,7,19
1211,90,2,11,32,41,14,27,13,7,9,2,14
1261,58,2,12,18,23,12,23,5,13,4,6,12
1417,62,9,25,5,13,7,14,17,11,5,4,20
1449,67,5,15,28,39,8,27,8,11,5,5,17
1455,80,9,15,23,29,9,25,16,13,3,2,12
1133,72,2,6,26,32,16,24,14,8,8,2,16
1163,87,4,13,21,30,13,22,16,12,7,1,16
1206,65,4,16,15,19,11,27,14,8,7,2,8
1207,70,6,14,10,12,12,25,18,8,6,5,10
1272,72,7,16,19,26,7,18,15,9,10,2,20
1400,75,8,19,15,19,9,29,17,10,8,3,14
1437,82,9,19,17,20,12,19,13,13,6,4,19
1452,67,7,22,24,33,8,20,11,14,13,2,15
1261,62,2,7,12,23,16,29,14,15,7,9,16
1272,80,6,15,12,18,11,30,11,13,10,7,18
1400,74,4,19,14,20,17,28,19,13,8,1,12
1417,73,6,21,21,30,12,20,12,10,5,4,22
1163,98,10,19,34,47,10,32,15,26,7,5,20
1196,57,5,13,14,17,9,22,7,12,4,8,14
1206,63,8,16,15,23,2,30,12,9,5,5,16
1437,60,4,19,14,20,15,21,9,11,11,2,21
1261,70,3,18,11,16,9,33,18,10,8,7,13
1417,50,2,8,20,39,13,23,7,17,4,2,14
1196,75,4,17,27,31,19,34,14,16,2,8,22
1206,86,9,18,17,25,15,22,13,11,6,2,17
1196,73,12,25,15,19,16,24,8,15,5,4,12
1417,59,5,18,12,17,15,27,10,17,10,5,24
1196,73,6,19,15,20,9,26,21,6,7,10,13
1310,77,8,27,21,28,17,25,10,11,5,2,17
1130,84,8,20,16,20,11,24,16,8,3,9,10
1139,57,9,24,10,16,9,26,11,11,6,3,15
1207,80,7,16,15,20,12,27,17,12,9,4,16
1231,70,9,25,15,16,12,33,15,13,3,2,14
1257,78,7,17,21,28,8,18,12,13,11,1,25
1268,82,6,17,14,19,19,35,19,22,8,4,15
1277,61,4,10,13,15,4,24,17,15,6,3,18
1314,86,6,13,6,11,11,27,24,22,7,6,8
1326,78,11,20,11,18,9,26,14,10,5,2,5
1338,79,10,21,9,14,8,36,21,17,3,7,12
1401,68,5,13,15,27,11,29,10,8,4,5,13
1417,70,10,19,6,9,13,22,18,13,6,5,18
1433,79,9,16,18,24,14,17,14,11,13,1,26
1435,77,12,31,13,16,15,26,22,11,6,3,22
1450,70,5,13,11,12,11,25,12,6,3,8,16
1462,79,8,17,23,29,13,24,12,10,3,4,19
1196,112,10,28,16,27,24,38,27,12,5,6,13
1242,107,13,22,14,26,13,37,29,12,14,7,26
1246,67,5,19,22,31,10,27,12,11,5,5,18
1272,73,4,16,19,27,20,25,12,16,6,8,19
1305,77,7,20,14,17,15,33,16,19,2,9,16
1332,58,5,16,15,17,4,20,10,5,3,1,12
1345,72,5,17,19,29,19,20,10,8,12,1,18
1356,61,2,12,23,30,9,19,11,18,9,3,21
1397,121,14,27,21,30,16,27,25,6,11,4,20
1400,79,4,16,25,26,9,21,11,15,8,4,14
1424,67,8,30,21,27,24,20,15,9,5,5,20
1425,77,4,13,23,25,9,30,10,12,8,5,18
1438,84,9,17,15,18,15,26,16,8,3,5,14
1439,54,6,14,18,28,4,18,11,9,11,4,12
1457,74,8,21,10,19,10,33,20,13,5,6,16
1458,76,7,20,25,30,11,23,13,10,8,4,21
1139,62,12,26,4,6,8,15,14,12,10,0,15
1207,62,4,16,14,19,17,21,12,10,6,7,14
1314,81,6,16,25,34,14,26,12,10,6,3,17
1326,78,9,21,17,20,12,33,10,14,5,6,19
1338,84,6,12,16,27,14,28,20,16,5,6,17
1401,72,5,8,29,39,6,19,9,11,6,1,23
1417,54,2,9,18,24,9,29,10,10,6,2,19
1435,78,10,27,14,18,11,28,13,17,12,2,17
1196,74,5,18,27,31,7,24,11,15,7,4,14
1242,88,10,16,18,23,9,21,19,11,7,5,21
1272,78,6,17,26,34,16,24,10,10,7,5,16
1332,75,11,23,10,12,10,21,8,10,4,0,13
1356,63,12,21,13,23,6,24,11,9,5,3,19
1397,77,11,26,22,32,12,27,12,16,7,0,25
1424,74,10,20,16,20,6,27,12,9,3,2,22
1425,87,6,16,27,38,13,30,13,10,6,2,16
1242,61,1,6,10,19,6,20,16,19,9,1,16
1272,65,5,17,14,21,11,20,8,8,2,6,15
1326,85,8,22,23,35,8,25,13,8,3,5,17
1417,64,5,13,23,26,6,27,10,14,1,2,18
1196,65,8,19,23,28,6,21,9,13,1,6,16
1207,66,8,19,8,14,16,24,14,11,3,3,18
1314,74,2,14,12,17,20,26,11,9,6,4,14
1332,76,13,23,17,22,7,30,11,17,4,3,20
1326,92,5,17,35,41,9,25,9,8,8,2,15
1417,68,8,17,12,18,10,21,12,25,15,3,14
1196,85,11,24,28,43,15,24,10,18,5,5,14
1207,96,8,14,12,18,11,27,26,10,4,11,18
1196,76,9,22,19,31,8,35,10,16,2,6,17
1326,67,4,14,13,19,16,21,13,8,8,3,10
1196,84,10,18,22,25,10,28,11,15,5,3,19
1291,69,5,20,26,32,13,28,10,11,7,3,16
1181,71,6,21,15,21,13,27,9,15,11,2,17
1242,85,12,25,7,15,15,23,21,11,10,3,15
1243,80,7,16,15,26,21,23,15,13,7,1,21
1266,74,5,13,23,29,15,19,10,7,5,3,18
1277,72,4,15,16,18,10,27,19,12,4,2,18
1323,68,9,21,7,11,11,31,14,13,4,5,15
1338,82,8,22,10,13,16,34,17,9,5,1,13
1345,90,9,20,15,18,16,27,14,13,6,6,18
1390,77,8,18,7,10,13,34,20,19,5,7,15
1401,67,8,16,9,17,9,28,18,13,2,0,15
1417,70,8,20,8,11,12,40,20,12,7,13,9
1424,71,6,18,7,9,7,29,16,19,11,7,16
1450,71,4,13,9,13,8,32,20,10,4,3,11
1452,75,11,19,8,9,6,21,16,9,6,3,17
1458,71,3,16,18,25,18,32,13,17,8,7,11
1462,73,6,18,27,33,6,23,11,8,9,1,12
1116,86,8,17,26,33,9,25,14,12,5,4,18
1139,81,15,28,12,13,7,21,18,10,9,1,21
1172,82,11,22,15,21,10,19,18,14,9,1,18
1207,66,8,23,6,14,11,29,14,15,6,2,12
1257,79,12,24,9,18,7,20,15,16,10,6,17
1272,87,9,20,22,35,16,23,18,12,7,5,18
1274,78,5,13,17,21,13,34,14,16,4,4,20
1280,76,4,17,24,36,8,32,16,12,5,6,15
1314,113,7,16,20,25,18,30,25,9,11,4,16
1328,72,6,14,18,26,6,19,14,9,5,2,18
1360,70,4,12,4,7,12,19,13,11,11,4,21
1373,83,9,20,22,25,5,24,16,17,10,0,11
1397,72,6,19,22,31,6,21,13,14,12,3,16
1400,74,10,22,10,18,15,29,17,11,2,6,16
1437,75,7,13,24,29,5,31,8,19,6,1,15
1443,101,14,28,13,19,13,28,18,22,5,4,29
1242,75,5,13,12,19,7,29,9,10,7,1,26
1277,65,6,10,9,9,10,27,12,15,1,3,17
1390,82,7,14,19,28,11,27,23,8,4,4,14
1417,51,6,18,7,11,8,21,7,14,7,11,16
1450,61,4,17,9,14,8,29,14,7,8,2,15
1452,73,4,11,19,22,19,28,12,17,1,5,25
1458,72,9,22,15,24,4,22,10,10,3,0,18
1462,85,5,12,26,33,5,29,12,14,5,3,17
1172,74,6,28,24,30,12,16,10,5,6,0,20
1257,78,9,17,5,15,10,23,24,12,7,3,18
1272,77,6,16,15,32,19,26,19,5,3,11,16
1314,108,8,16,12,17,11,21,28,7,3,5,18
1397,76,5,19,19,29,16,30,12,20,5,3,24
1400,75,13,26,12,21,16,25,17,13,3,7,19
1437,84,6,13,18,24,6,31,15,15,8,2,27
1443,72,6,16,16,21,8,23,11,14,13,6,19
1257,79,4,14,23,30,9,34,14,20,6,7,23
1314,68,5,15,13,19,14,32,11,13,5,5,16
1417,88,4,9,26,35,17,34,17,19,6,8,22
1462,79,11,19,12,21,15,26,16,12,3,5,25
1172,73,12,24,9,12,11,17,18,7,9,0,19
1242,72,8,19,16,20,7,26,16,18,8,5,18
1272,92,4,13,26,35,17,22,13,9,9,7,16
1400,82,7,22,11,18,14,28,16,6,7,5,14
1314,83,3,11,18,21,15,18,16,14,9,0,17
1417,76,7,15,13,18,13,24,17,14,6,6,19
1242,59,5,14,8,14,10,28,12,14,5,5,16
1272,85,3,11,30,36,7,32,18,7,4,5,13
1242,84,5,15,11,14,11,31,17,19,10,9,21
1272,78,4,12,20,23,15,28,10,9,7,6,14
1242,75,3,12,14,15,9,30,14,17,11,1,18
1287,58,4,15,18,24,16,34,13,21,6,2,14
1163,103,6,24,23,39,17,41,28,10,12,6,11
1181,86,9,20,21,25,17,21,21,15,6,3,14
1211,77,5,15,26,31,7,27,15,8,5,5,18
1261,75,6,14,15,21,9,21,14,11,11,8,20
1268,84,6,16,16,24,16,20,18,9,5,1,17
1272,81,11,28,12,21,12,23,19,14,14,3,16
1276,62,10,26,12,15,9,24,16,14,5,3,11
1314,101,5,14,20,24,20,39,17,12,11,8,13
1328,82,4,12,20,32,7,38,15,15,5,6,11
1345,61,3,15,16,22,10,22,11,10,8,3,13
1400,76,11,20,11,19,14,27,12,14,6,1,18
1401,79,6,17,13,19,7,28,20,14,2,6,15
1417,65,6,12,17,19,9,24,9,12,9,1,20
1437,80,6,18,26,29,10,28,15,16,8,8,12
1443,76,9,19,13,22,9,28,13,15,8,4,12
1449,71,2,9,15,21,17,28,13,15,5,0,21
1112,84,4,12,20,28,11,23,11,14,13,2,15
1113,66,8,14,18,24,3,24,12,11,4,1,14
1156,84,6,15,16,22,14,18,15,6,9,1,17
1173,68,4,10,14,23,13,19,14,9,5,2,22
1242,84,4,12,16,20,10,29,17,5,5,2,17
1257,74,10,24,6,11,8,21,19,19,9,4,16
1266,58,5,19,19,23,10,22,7,9,4,2,14
1277,77,4,13,17,23,17,32,15,10,6,4,15
1281,78,5,20,17,19,9,28,19,4,4,1,11
1329,77,7,21,10,13,8,23,13,12,5,0,19
